device_name,snapshot_id
SW1,2026-03-21_1850
SW2,2026-03-21_1850
R3,2026-03-21_1850
R4,2026-03-21_1850
R4,2026-03-21_1840
R3,2026-03-21_1840
SW2,2026-03-21_1840
SW1,2026-03-21_1840
SW2,2026-03-16_1440
SW1,2026-03-16_1440
R3,2026-03-16_1440
R4,2026-03-16_1440
R3,2026-03-16_1414
SW1,2026-03-16_1414
SW2,2026-03-16_1414
R4,2026-03-16_1414
SW2,2026-03-06_0931
SW1,2026-03-06_0931
R4,2026-03-06_0931
R3,2026-03-06_0931
SW2,2026-03-06_0246
R4,2026-03-06_0246
SW1,2026-03-06_0246
R3,2026-03-06_0246
R4,2026-03-05_1918
R3,2026-03-05_1918
SW1,2026-03-05_1918
SW2,2026-03-05_1918
R3,2026-03-05_1627
SW2,2026-03-05_1627
R4,2026-03-05_1627
SW1,2026-03-05_1627
SW2,2026-03-05_1615
R3,2026-03-05_1615
SW1,2026-03-05_1615
R4,2026-03-05_1615
SW1,2026-03-05_1559
R4,2026-03-05_1559
SW2,2026-03-05_1559
R3,2026-03-05_1559
SW1,2026-03-04_1124
R3,2026-03-04_1124
SW2,2026-03-04_1124
R4,2026-03-04_1124
SW2,2026-03-04_1115
R3,2026-03-04_1115
SW1,2026-03-04_1115
R4,2026-03-04_1115
SW1,2026-03-04_1109
R4,2026-03-04_1109
R3,2026-03-04_1109
SW2,2026-03-04_1109
R3,2026-03-03_2009
R4,2026-03-03_2009
SW1,2026-03-03_2009
SW2,2026-03-03_2009
R4,2026-03-03_1951
SW1,2026-03-03_1951
SW2,2026-03-03_1951
R3,2026-03-03_1951
SW2,2026-03-03_1944
R4,2026-03-03_1944
SW1,2026-03-03_1944
R3,2026-03-03_1944
R3,2026-03-03_1940
SW1,2026-03-03_1940
SW2,2026-03-03_1940
R4,2026-03-03_1940
SW2,2026-03-03_1754
R3,2026-03-03_1754
SW1,2026-03-03_1754
R4,2026-03-03_1754
R2,2026-03-02_2246
R1,2026-03-02_2246
R2,2026-03-02_2133
R1,2026-03-02_2133
R1,2026-03-02_2127
R2,2026-03-02_2127
R1,2026-03-02_2110
R2,2026-03-02_2110
R1,2026-03-02_2038
R2,2026-03-02_2038
R1,2026-03-02_1829
R2,2026-03-02_1829
R1,2026-03-02_1810
R2,2026-03-02_1810
R1,2026-03-02_1717
R2,2026-03-02_1717
R2,2026-03-02_1652
R1,2026-03-02_1652
