device_name,command,snapshot_id
SW1,show ip route,2026-03-05_1918
SW2,show ip route summary,2026-03-05_1918
SW1,show ip route summary,2026-03-05_1918
R2,show route summary,2026-03-05_1918
R3,show ip route summary,2026-03-05_1918
SW2,show ip route,2026-03-05_1918
R4,show ip route summary,2026-03-05_1918
R4,show ip route,2026-03-05_1918
R4,show ip ospf database router,2026-03-05_1918
R3,show ip route,2026-03-05_1918
R1,show route summary,2026-03-05_1918
R3,show ip ospf database router,2026-03-05_1918
R4,show ip route summary,2026-03-05_1627
R3,show ip route summary,2026-03-05_1627
R3,show ip ospf database router,2026-03-05_1627
SW2,show ip route,2026-03-05_1627
R2,show route summary,2026-03-05_1627
SW2,show ip route summary,2026-03-05_1627
SW1,show ip route summary,2026-03-05_1627
SW1,show ip route,2026-03-05_1627
R4,show ip ospf database router,2026-03-05_1627
R1,show route summary,2026-03-05_1627
R3,show ip route,2026-03-05_1627
R4,show ip route,2026-03-05_1627
R3,show ip ospf database router,2026-03-05_1615
R3,show ip route,2026-03-05_1615
R4,show ip route summary,2026-03-05_1615
R1,show route summary,2026-03-05_1615
R3,show ip route summary,2026-03-05_1615
R4,show ip ospf database router,2026-03-05_1615
R4,show ip route,2026-03-05_1615
SW2,show ip route,2026-03-05_1615
R2,show route summary,2026-03-05_1615
SW1,show ip route summary,2026-03-05_1615
SW1,show ip route,2026-03-05_1615
SW2,show ip route summary,2026-03-05_1615
R4,show ip ospf database router,2026-03-05_1559
R4,show ip route,2026-03-05_1559
SW1,show ip route summary,2026-03-05_1559
R2,show route summary,2026-03-05_1559
R3,show ip ospf database router,2026-03-05_1559
R3,show ip route,2026-03-05_1559
R1,show route summary,2026-03-05_1559
R3,show ip route summary,2026-03-05_1559
R4,show ip route summary,2026-03-05_1559
SW1,show ip route,2026-03-05_1559
SW2,show ip route summary,2026-03-05_1559
SW2,show ip route,2026-03-05_1559
R4,show ip route summary,2026-03-04_1124
R3,show ip route summary,2026-03-04_1124
R3,show ip ospf database router,2026-03-04_1124
SW2,show ip route,2026-03-04_1124
R2,show route summary,2026-03-04_1124
SW1,show ip route,2026-03-04_1124
SW2,show ip route summary,2026-03-04_1124
SW1,show ip route summary,2026-03-04_1124
R1,show route summary,2026-03-04_1124
R4,show ip route,2026-03-04_1124
R3,show ip route,2026-03-04_1124
R4,show ip ospf database router,2026-03-04_1124
SW2,show ip route,2026-03-04_1115
R4,show ip route summary,2026-03-04_1115
R3,show ip route summary,2026-03-04_1115
R3,show ip route,2026-03-04_1115
R1,show route summary,2026-03-04_1115
SW2,show ip route summary,2026-03-04_1115
SW1,show ip route,2026-03-04_1115
SW1,show ip route summary,2026-03-04_1115
R2,show route summary,2026-03-04_1115
R3,show ip ospf database router,2026-03-04_1115
R4,show ip route,2026-03-04_1115
R4,show ip ospf database router,2026-03-04_1115
SW2,show ip route,2026-03-04_1109
R4,show ip route summary,2026-03-04_1109
R3,show ip route summary,2026-03-04_1109
R3,show ip route,2026-03-04_1109
R1,show route summary,2026-03-04_1109
SW1,show ip route summary,2026-03-04_1109
SW1,show ip route,2026-03-04_1109
R2,show route summary,2026-03-04_1109
SW2,show ip route summary,2026-03-04_1109
R3,show ip ospf database router,2026-03-04_1109
R4,show ip ospf database router,2026-03-04_1109
R4,show ip route,2026-03-04_1109
R2,show route summary,2026-03-03_2009
SW1,show ip route summary,2026-03-03_2009
SW2,show ip route summary,2026-03-03_2009
SW1,show ip route,2026-03-03_2009
R4,show ip route,2026-03-03_2009
R4,show ip ospf database router,2026-03-03_2009
R3,show ip route summary,2026-03-03_2009
SW2,show ip route,2026-03-03_2009
R4,show ip route summary,2026-03-03_2009
R3,show ip ospf database router,2026-03-03_2009
R1,show route summary,2026-03-03_2009
R3,show ip route,2026-03-03_2009
R2,show route summary,2026-03-03_1951
SW1,show ip route summary,2026-03-03_1951
SW1,show ip route,2026-03-03_1951
R4,show ip route,2026-03-03_1951
SW2,show ip route summary,2026-03-03_1951
R4,show ip ospf database router,2026-03-03_1951
SW2,show ip route,2026-03-03_1951
R4,show ip route summary,2026-03-03_1951
R3,show ip route summary,2026-03-03_1951
R3,show ip ospf database router,2026-03-03_1951
R3,show ip route,2026-03-03_1951
R1,show route summary,2026-03-03_1951
R4,show ip ospf database router,2026-03-03_1944
SW2,show ip route summary,2026-03-03_1944
SW1,show ip route,2026-03-03_1944
R4,show ip route,2026-03-03_1944
R1,show route summary,2026-03-03_1944
R3,show ip route,2026-03-03_1944
R3,show ip ospf database router,2026-03-03_1944
SW1,show ip route summary,2026-03-03_1944
