device_name,snapshot_id,totpaths,actpaths,suppressed,history,dampstate
R1,2026-03-02_2110,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-02_2127,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-02_2133,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-02_2246,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1746,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1751,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1754,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1940,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1944,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_1951,"""1""","""0""","""0""","""0""","""0"""
R1,2026-03-03_2009,"""1""","""0""","""0""","""0""","""0"""
R2,2026-03-02_2110,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-02_2127,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-02_2133,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-02_2246,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1746,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1751,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1754,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1940,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1944,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_1951,"""2""","""0""","""0""","""0""","""0"""
R2,2026-03-03_2009,"""2""","""0""","""0""","""0""","""0"""
R3,2026-03-02_1652,,,,,
R3,2026-03-02_1717,,,,,
R3,2026-03-02_1810,,,,,
R3,2026-03-02_1829,,,,,
R3,2026-03-02_2038,,,,,
R3,2026-03-02_2110,,,,,
R3,2026-03-02_2127,,,,,
R3,2026-03-02_2133,,,,,
R3,2026-03-02_2246,,,,,
R3,2026-03-03_1746,,,,,
R3,2026-03-03_1751,,,,,
R3,2026-03-03_1754,,,,,
R3,2026-03-03_1940,,,,,
R3,2026-03-03_1944,,,,,
R3,2026-03-03_1951,,,,,
R3,2026-03-03_2009,,,,,
R3,2026-03-04_1109,,,,,
R3,2026-03-04_1115,,,,,
R3,2026-03-04_1124,,,,,
R3,2026-03-05_1559,,,,,
R3,2026-03-05_1615,,,,,
R3,2026-03-05_1627,,,,,
R3,2026-03-05_1918,,,,,
R4,2026-03-02_1652,,,,,
R4,2026-03-02_1717,,,,,
R4,2026-03-02_1810,,,,,
R4,2026-03-02_1829,,,,,
R4,2026-03-02_2038,,,,,
R4,2026-03-02_2110,,,,,
R4,2026-03-02_2127,,,,,
R4,2026-03-02_2133,,,,,
R4,2026-03-02_2246,,,,,
R4,2026-03-03_1746,,,,,
R4,2026-03-03_1751,,,,,
R4,2026-03-03_1754,,,,,
R4,2026-03-03_1940,,,,,
R4,2026-03-03_1944,,,,,
R4,2026-03-03_1951,,,,,
R4,2026-03-03_2009,,,,,
R4,2026-03-04_1109,,,,,
R4,2026-03-04_1115,,,,,
R4,2026-03-04_1124,,,,,
R4,2026-03-05_1559,,,,,
R4,2026-03-05_1615,,,,,
R4,2026-03-05_1627,,,,,
R4,2026-03-05_1918,,,,,
